Row Labels, Sum of Thực thu ,,,
Cà Phê Muối Chú Long - 130 Thích Quảng Đức," 1,142,995 ",,," 81,390,796 "
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8," 295,953 ",,,
Cà Phê Muối Chú Long - 17A Ngô Tất Tố," 1,163,292 ",,,
Cà Phê Muối Chú Long - 417 Cộng Hoà," 2,209,710 ",,,
Cà Phê Muối Chú Long - An Dương Vương," 1,326,376 ",,,
Cà Phê Muối Chú Long - Bà Rịa," 95,068 ",,,
Cà Phê Muối Chú Long - Bà Triệu," 410,260 ",,,
Cà Phê Muối Chú Long - Bạch Đằng," 460,075 ",,,
Cà Phê Muối Chú Long - Bến Tre," 100,350 ",,,
Cà Phê Muối Chú Long - Bình Long," 3,684,320 ",,,
Cà Phê Muối Chú Long - Cà Mau," 383,098 ",,,
Cà Phê Muối Chú Long - Cách Mạng Tháng 8," 986,399 ",,,
Cà Phê Muối Chú Long - Cần Thơ," 831,615 ",,,
Cà Phê Muối Chú Long - Classic," 1,541,413 ",,,
Cà Phê Muối Chú Long - Công Trường Quốc Tế," 858,285 ",,,
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn," 1,639,326 ",,,
Cà Phê Muối Chú Long - Đoàn Thị Điểm," 271,621 ",,,
Cà Phê Muối Chú Long - Đội Cấn," 3,830,139 ",,,
Cà Phê Muối Chú Long - Đồng Xoài," 320,738 ",,,
Cà Phê Muối Chú Long - Đường Láng," 4,797,714 ",,,
Cà Phê Muối Chú Long - Hà Huy Giáp," 3,407,064 ",,,
Cà Phê Muối Chú Long - Hậu Giang," 3,201,112 ",,,
Cà Phê Muối Chú Long - Hoàng Diệu," 657,020 ",,,
Cà Phê Muối Chú Long - Hùng Vương," 89,032 ",,,
Cà Phê Muối Chú Long - Huỳnh Tấn Phát," 1,977,912 ",,,
Cà Phê Muối Chú Long - Huỳnh Văn Bánh," 1,757,544 ",,,
Cà Phê Muối Chú Long - Kha Vạn Cân," 1,727,096 ",,,
Cà Phê Muối Chú Long - Kiên Giang," 506,538 ",,,
Cà Phê Muối Chú Long - Lạc Long Quân," 1,689,900 ",,,
Cà Phê Muối Chú Long - Lê Duẩn," 956,897 ",,,
Cà Phê Muối Chú Long - Long An," 1,029,745 ",,,
Cà Phê Muối Chú Long - Long Xuyên," 640,118 ",,,
Cà Phê Muối Chú Long - Ngô Tất Tố," 799,849 ",,,
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu," 2,841,217 ",,,
Cà Phê Muối Chú Long - Nguyễn Huệ," 2,350,635 ",,,
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh," 1,408,959 ",,,
Cà Phê Muối Chú Long - Phan Thiết," 1,967,313 ",,,
Cà Phê Muối Chú Long - Phan Văn Trị," 710,002 ",,,
Cà Phê Muối Chú Long - Quảng Ngãi," 1,490,933 ",,,
Cà Phê Muối Chú Long - Tây Ninh," 349,146 ",,,
Cà Phê Muối Chú Long - Thanh Nhàn," 6,736,941 ",,,
Cà Phê Muối Chú Long - Thích Quảng Đức," 860,097 ",,,
Cà Phê Muối Chú Long - Thuận An," 856,849 ",,,
Cà Phê Muối Chú Long - Tiền Giang," 628,235 ",,,
Cà Phê Muối Chú Long - Tôn Đức Thắng," 4,858,474 ",,,
Cà Phê Muối Chú Long - Trà Vinh," 360,350 ",,,
Cà Phê Muối Chú Long - Trần Hưng Đạo," 294,898 ",,,
Cà Phê Muối Chú Long - Trương Định," 6,939,729 ",,,
Cà Phê Muối Chú Long - Vĩnh Long," 342,826 ",,,
Cà Phê Muối Chú Long - Võ Văn Kiệt," 2,626,160 ",,,
Cà Phê Muối Chú Long - Vũng Tàu," 979,458 ",,,
(blank),,,,
Grand Total," 81,390,796 ",,,
