Row Labels,Sum of Sum of Thực thu
(blank),
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,1039708
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,216919
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,2406875
Cà Phê Muối Chú Long - 417 Cộng Hoà,2759979
Cà Phê Muối Chú Long - An Dương Vương,1209469
Cà Phê Muối Chú Long - Bà Rịa,14147
Cà Phê Muối Chú Long - Bà Triệu,523247
Cà Phê Muối Chú Long - Bến Tre,78845
Cà Phê Muối Chú Long - Bình Long,2736591
Cà Phê Muối Chú Long - Cà Mau,120721
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,1797988
Cà Phê Muối Chú Long - Cần Thơ,1236445
Cà Phê Muối Chú Long - Classic,1661424
Cà Phê Muối Chú Long - Công Trường Quốc Tế,2243895
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,1300766
Cà Phê Muối Chú Long - Đoàn Thị Điểm,77715
Cà Phê Muối Chú Long - Đội Cấn,7896262
Cà Phê Muối Chú Long - Đồng Xoài,403661
Cà Phê Muối Chú Long - Đường Láng,9493932
Cà Phê Muối Chú Long - Hà Huy Giáp,3790056
Cà Phê Muối Chú Long - Hậu Giang,3777054
Cà Phê Muối Chú Long - Hoàng Diệu,789591
Cà Phê Muối Chú Long - Hùng Vương,519663
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,3072342
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,3377924
Cà Phê Muối Chú Long - Kiên Giang,507781
Cà Phê Muối Chú Long - Kha Vạn Cân,2381971
Cà Phê Muối Chú Long - Lạc Long Quân,1837221
Cà Phê Muối Chú Long - Lê Duẩn,1011411
Cà Phê Muối Chú Long - Long An,694519
Cà Phê Muối Chú Long - Long Xuyên,407998
Cà Phê Muối Chú Long - Ngô Tất Tố,1391305
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,4448567
Cà Phê Muối Chú Long - Nguyễn Huệ,2990328
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,1618414
Cà Phê Muối Chú Long - Phan Thiết,1476364
Cà Phê Muối Chú Long - Quảng Ngãi,1797982
Cà Phê Muối Chú Long - Tây Ninh,155428
Cà Phê Muối Chú Long - Tiền Giang,270300
Cà Phê Muối Chú Long - Tôn Đức Thắng,9915314
Cà Phê Muối Chú Long - Thanh Nhàn,9251963
Cà Phê Muối Chú Long - Thích Quảng Đức,500991
Cà Phê Muối Chú Long - Thuận An,836367
Cà Phê Muối Chú Long - Trà Vinh,464397
Cà Phê Muối Chú Long - Trần Hưng Đạo,488351
Cà Phê Muối Chú Long - Trương Định,10404984
Cà Phê Muối Chú Long - Vĩnh Long,747899
Cà Phê Muối Chú Long - Võ Văn Kiệt,3651045
Cà Phê Muối Chú Long - Vũng Tàu,598323
Grand Total,110394442
(blank),
Grand Total,220788884
