Row Labels, Sum of SAU QUẢNG CÁO 
Cà Phê Muối Chú Long - 130 Thích Quảng Đức,"508,487"
Cà Phê Muối Chú Long - 1349 Cách Mạng Tháng 8,"246,489"
Cà Phê Muối Chú Long - 17A Ngô Tất Tố,"1,088,123"
Cà Phê Muối Chú Long - 417 Cộng Hoà,"1,635,882"
Cà Phê Muối Chú Long - An Dương Vương,"703,581"
Cà Phê Muối Chú Long - Bà Rịa,"129,450"
Cà Phê Muối Chú Long - Bà Triệu,"542,130"
Cà Phê Muối Chú Long - Bạch Đằng,"185,844"
Cà Phê Muối Chú Long - Bến Tre,"240,502"
Cà Phê Muối Chú Long - Bình Long,"1,880,696"
Cà Phê Muối Chú Long - Cà Mau,"144,821"
Cà Phê Muối Chú Long - Cách Mạng Tháng 8,"701,073"
Cà Phê Muối Chú Long - Cần Thơ,"501,632"
Cà Phê Muối Chú Long - Classic,"807,399"
Cà Phê Muối Chú Long - Công Trường Quốc Tế,"1,397,376"
Cà Phê Muối Chú Long - Đặng Nguyên Cẩn,"1,348,777"
Cà Phê Muối Chú Long - Đoàn Thị Điểm,"164,231"
Cà Phê Muối Chú Long - Đội Cấn,"3,672,173"
Cà Phê Muối Chú Long - Đồng Xoài,"208,005"
Cà Phê Muối Chú Long - Đường Láng,"3,545,756"
Cà Phê Muối Chú Long - Hà Huy Giáp,"1,807,325"
Cà Phê Muối Chú Long - Hậu Giang,"2,452,696"
Cà Phê Muối Chú Long - Hoàng Diệu,"770,794"
Cà Phê Muối Chú Long - Hùng Vương,"309,454"
Cà Phê Muối Chú Long - Huỳnh Tấn Phát,"1,334,562"
Cà Phê Muối Chú Long - Huỳnh Văn Bánh,"1,634,534"
Cà Phê Muối Chú Long - Kiên Giang,"412,771"
Cà Phê Muối Chú Long - Kha Vạn Cân,"1,078,763"
Cà Phê Muối Chú Long - Lạc Long Quân,"1,164,359"
Cà Phê Muối Chú Long - Lê Duẩn,"659,297"
Cà Phê Muối Chú Long - Long An,"374,133"
Cà Phê Muối Chú Long - Long Xuyên,"127,047"
Cà Phê Muối Chú Long - Ngô Tất Tố,"395,027"
Cà Phê Muối Chú Long - Nguyễn Đình Chiểu,"2,412,060"
Cà Phê Muối Chú Long - Nguyễn Huệ,"2,122,569"
Cà Phê Muối Chú Long - Nguyễn Hữu Cảnh,"975,135"
Cà Phê Muối Chú Long - Phan Thiết,"2,042,260"
Cà Phê Muối Chú Long - Phan Văn Trị,"627,877"
Cà Phê Muối Chú Long - Quảng Ngãi,"696,728"
Cà Phê Muối Chú Long - Tây Ninh,"100,254"
Cà Phê Muối Chú Long - Tiền Giang,"300,256"
Cà Phê Muối Chú Long - Tôn Đức Thắng,"4,408,393"
Cà Phê Muối Chú Long - Thanh Nhàn,"5,180,343"
Cà Phê Muối Chú Long - Thích Quảng Đức,"805,400"
Cà Phê Muối Chú Long - Thuận An,"894,946"
Cà Phê Muối Chú Long - Trà Vinh,"252,317"
Cà Phê Muối Chú Long - Trần Hưng Đạo,"414,401"
Cà Phê Muối Chú Long - Trương Định,"5,314,230"
Cà Phê Muối Chú Long - Vĩnh Long,"211,294"
Cà Phê Muối Chú Long - Võ Văn Kiệt,"1,093,433"
Cà Phê Muối Chú Long - Vũng Tàu,"594,952"
Grand Total," 60,620,038 "
